[0][0]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[0][1]: 22341250.000000
[0][2]: 1450457.000000
[0][3]: 40481433.000000
[0][4]: 13373585.000000
[0][5]: 9793901.000000
[0][6]: 5825090.000000
[0][7]: 316186.000000
[0][8]: 213520.000000
[0][9]: 31962100.000000
[0][10]: 2932165.000000
[0][11]: 2571425.000000
[0][12]: 5603625.000000
[0][13]: 4841608.000000
[0][14]: 1662669.000000
[0][15]: 1007785.000000
[0][16]: 14689490.000000
[0][17]: 5096753.000000
[0][18]: 11688904.000000
[0][19]: 5139220.000000
[0][20]: 8738057.000000
[0][21]: 518338.000000
[0][22]: 2887666.000000
[0][23]: 27858937.000000
[0][24]: 6645490.000000
[0][25]: 36911290.000000
[0][26]: 12003997.000000
[0][27]: 7042033.000000
[0][28]: 13138058.000000
[0][29]: 9702733.000000
[0][30]: 2474825.000000
[0][31]: 15603025.000000
[0][32]: 3053264.000000
[0][33]: 4584901.000000
[0][34]: 45619690.000000
[0][35]: 5674472.000000
[0][36]: 10928948.000000
[0][37]: 1058645.000000
[0][38]: 12455876.000000
[0][39]: 679493.000000
[0][40]: 4782970.000000
[0][41]: 23226580.000000
[0][42]: 12173032.000000
[0][43]: 3790421.000000
[0][44]: 46707905.000000
[0][45]: 2376929.000000
[0][46]: 5657426.000000
[0][47]: 14010642.000000

[1][0]: 22341250.000000
[1][1]: 179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000
[1][2]: 12869605.000000
[1][3]: 4046785.000000
[1][4]: 3390757.000000
[1][5]: 48675329.000000
[1][6]: 42250036.000000
[1][7]: 26903588.000000
[1][8]: 25277850.000000
[1][9]: 5414162.000000
[1][10]: 17204441.000000
[1][11]: 22304305.000000
[1][12]: 13212625.000000
[1][13]: 9760266.000000
[1][14]: 24069925.000000
[1][15]: 15442157.000000
[1][16]: 55693160.000000
[1][17]: 40158841.000000
[1][18]: 52451370.000000
[1][19]: 26056490.000000
[1][20]: 16345381.000000
[1][21]: 16171424.000000
[1][22]: 13514740.000000
[1][23]: 8194401.000000
[1][24]: 9646820.000000
[1][25]: 3419380.000000
[1][26]: 51450165.000000
[1][27]: 43943705.000000
[1][28]: 1447652.000000
